iter	Passed	Remaining
0	59	58965
1	59	29681
2	59	19898
3	60	15028
4	60	12101
5	61	10137
6	61	8741
7	62	7697
8	62	6880
9	62	6222
10	63	5684
11	63	5238
12	64	4863
13	64	4538
14	64	4255
15	65	4012
16	65	3792
17	65	3598
18	66	3430
19	66	3276
20	67	3140
21	67	3013
22	68	2898
23	68	2789
24	69	2693
25	69	2602
26	69	2517
27	70	2440
28	70	2368
29	71	2302
30	71	2245
31	72	2188
32	72	2132
33	73	2078
34	73	2026
35	73	1978
36	74	1933
37	74	1891
38	75	1849
39	75	1810
40	75	1773
41	76	1736
42	76	1703
43	76	1671
44	77	1641
45	77	1611
46	78	1583
47	78	1556
48	78	1530
49	79	1505
50	79	1480
51	79	1457
52	80	1435
53	80	1417
54	81	1400
55	81	1381
56	82	1364
57	83	1348
58	83	1330
59	83	1313
60	84	1298
61	84	1282
62	85	1266
63	85	1251
64	85	1236
65	86	1222
66	86	1207
67	87	1194
68	87	1181
69	87	1167
70	88	1154
71	88	1142
72	89	1130
73	89	1119
74	89	1108
75	90	1098
76	90	1087
77	91	1077
78	91	1067
79	91	1056
80	92	1046
81	92	1036
82	92	1024
83	93	1017
84	93	1008
85	94	1001
86	94	993
87	95	985
88	95	978
89	96	971
90	96	964
91	96	956
92	97	948
93	97	941
94	98	934
95	98	927
96	99	923
97	99	917
98	100	911
99	100	905
100	101	900
101	101	894
102	101	887
103	102	881
104	102	876
105	103	870
106	103	865
107	104	859
108	104	854
109	104	848
110	105	842
111	105	837
112	105	831
113	106	826
114	106	821
115	107	815
116	107	809
117	107	804
118	108	799
119	108	796
120	109	792
121	109	787
122	109	783
123	110	779
124	110	776
125	111	772
126	111	767
127	112	763
128	112	759
129	113	756
130	113	753
131	114	749
132	114	745
133	114	742
134	115	741
135	116	737
136	116	733
137	116	730
138	117	726
139	117	722
140	118	718
141	118	714
142	118	710
143	119	707
144	119	704
145	119	700
146	120	697
147	120	694
148	120	690
149	121	687
150	121	684
151	122	680
152	122	677
153	122	674
154	123	671
155	123	669
156	124	666
157	124	663
158	125	661
159	125	659
160	125	655
161	126	652
162	126	649
163	126	647
164	127	644
165	127	642
166	128	639
167	128	637
168	129	635
169	129	633
170	130	630
171	130	627
172	130	625
173	131	622
174	131	619
175	131	617
176	132	614
177	132	612
178	132	609
179	133	607
180	133	605
181	134	603
182	134	600
183	134	598
184	135	596
185	135	594
186	136	591
187	136	589
188	136	587
189	137	585
190	137	583
191	138	581
192	138	579
193	139	577
194	139	575
195	139	573
196	140	571
197	140	569
198	140	567
199	141	565
200	141	563
201	142	561
202	142	559
203	143	558
204	143	556
205	143	554
206	144	552
207	144	550
208	144	548
209	145	546
210	145	544
211	146	542
212	146	541
213	146	539
214	147	537
215	147	535
216	147	533
217	149	534
218	149	532
219	149	531
220	150	529
221	150	527
222	150	525
223	151	524
224	151	522
225	152	520
226	152	519
227	152	517
228	153	516
229	153	514
230	154	513
231	154	512
232	155	510
233	155	508
234	155	507
235	156	505
236	156	504
237	156	502
238	157	501
239	158	501
240	158	499
241	159	498
242	159	497
243	160	496
244	160	494
245	160	493
246	161	491
247	161	490
248	162	488
249	162	487
250	162	486
251	163	484
252	163	483
253	163	481
254	164	480
255	164	478
256	165	477
257	165	476
258	165	474
259	166	473
260	166	471
261	166	470
262	167	468
263	167	467
264	168	466
265	168	465
266	168	463
267	169	462
268	169	461
269	170	460
270	170	458
271	170	457
272	171	456
273	171	454
274	172	453
275	172	452
276	173	451
277	173	450
278	173	449
279	174	449
280	175	448
281	175	447
282	176	446
283	176	444
284	176	443
285	177	442
286	177	441
287	177	440
288	178	438
289	178	437
290	179	436
291	179	435
292	179	434
293	180	432
294	180	431
295	181	430
296	181	429
297	181	428
298	182	427
299	182	425
300	182	424
301	183	423
302	183	423
303	184	422
304	184	421
305	185	420
306	185	419
307	186	417
308	186	416
309	186	415
310	187	414
311	187	413
312	187	412
313	188	411
314	188	410
315	189	409
316	189	408
317	190	407
318	190	406
319	190	405
320	191	404
321	191	403
322	191	402
323	192	401
324	192	400
325	193	399
326	193	398
327	193	397
328	194	396
329	194	395
330	195	394
331	195	393
332	195	392
333	196	391
334	196	390
335	196	389
336	197	388
337	197	387
338	198	386
339	198	385
340	199	384
341	199	383
342	199	383
343	200	382
344	200	381
345	201	380
346	201	379
347	202	378
348	202	377
349	202	376
350	203	376
351	203	375
352	204	374
353	204	373
354	205	372
355	205	371
356	205	370
357	206	369
358	206	368
359	207	368
360	207	367
361	207	366
362	208	365
363	208	364
364	209	363
365	209	362
366	209	361
367	210	361
368	210	360
369	211	359
370	211	358
371	211	357
372	212	356
373	212	355
374	213	355
375	213	354
376	214	353
377	214	353
378	215	352
379	215	351
380	215	350
381	216	349
382	216	348
383	216	348
384	217	347
385	217	346
386	218	345
387	218	344
388	218	343
389	219	343
390	220	342
391	220	341
392	220	341
393	221	340
394	221	339
395	222	338
396	222	337
397	222	336
398	223	336
399	223	335
400	223	334
401	224	333
402	224	332
403	225	332
404	225	331
405	225	330
406	226	329
407	226	328
408	227	328
409	227	327
410	228	326
411	228	326
412	228	325
413	229	324
414	229	323
415	230	322
416	230	322
417	230	321
418	231	320
419	231	319
420	231	318
421	232	318
422	232	317
423	233	316
424	233	316
425	234	315
426	234	314
427	234	313
428	235	313
429	235	312
430	235	311
431	236	310
432	236	309
433	236	309
434	237	308
435	237	307
436	238	306
437	238	305
438	238	305
439	239	304
440	239	303
441	240	303
442	240	302
443	240	301
444	241	300
445	241	300
446	242	299
447	242	298
448	243	298
449	243	297
450	243	296
451	244	296
452	244	295
453	245	294
454	245	294
455	245	293
456	246	292
457	246	291
458	247	291
459	247	290
460	247	289
461	248	289
462	248	288
463	249	288
464	249	287
465	250	286
466	250	285
467	251	285
468	251	284
469	251	283
470	252	283
471	252	282
472	252	281
473	253	280
474	253	280
475	253	279
476	254	278
477	254	278
478	254	277
479	255	276
480	255	275
481	256	275
482	256	274
483	256	273
484	257	273
485	257	272
486	258	272
487	258	271
488	259	270
489	259	270
490	260	269
491	260	268
492	260	268
493	261	267
494	261	266
495	261	266
496	262	265
497	262	264
498	263	264
499	263	263
500	264	263
501	264	262
502	264	261
503	265	261
504	265	260
505	265	259
506	266	258
507	266	258
508	267	257
509	267	257
510	267	256
511	268	255
512	268	255
513	268	254
514	269	253
515	269	253
516	270	252
517	270	251
518	270	251
519	271	250
520	271	249
521	272	249
522	272	248
523	273	248
524	273	247
525	274	246
526	274	246
527	274	245
528	275	245
529	275	244
530	276	244
531	276	243
532	277	242
533	277	242
534	278	241
535	278	241
536	278	240
537	279	239
538	279	239
539	280	238
540	280	237
541	280	237
542	281	236
543	281	235
544	281	235
545	282	234
546	282	234
547	282	233
548	283	232
549	283	232
550	284	231
551	284	230
552	284	230
553	285	229
554	285	229
555	286	229
556	287	228
557	287	227
558	288	227
559	288	226
560	288	226
561	289	225
562	289	224
563	290	224
564	290	223
565	291	223
566	291	222
567	291	221
568	292	221
569	292	220
570	293	220
571	293	219
572	294	219
573	294	218
574	295	218
575	295	217
576	295	216
577	296	216
578	296	215
579	296	214
